Regione;%;Posti aggiunti;Posti in piu;Posti mancanti;Posti pre Covid
Abruzzo;-85;10;66;-56;123
Basilicata;-25;24;32;-8;49
Bolzano;-55;18;40;-22;37
Calabria;-96;6;134;-128;146
Campania;-82;255;499;-244;335
Emilia Romagna;-65;67;192;-125;449
Friuli Venezia Giulia;0;55;55;0;120
Lazio;-36;176;274;-98;571
Liguria;-33;29;43;-14;180
Lombardia;-79;122;585;-463;861
Marche;-89;12;105;-93;115
Molise;-71;4;14;-10;30
Piemonte;-87;40;299;-259;327
Puglia;-85;42;275;-233;304
Sardegna;-60;41;102;-61;134
Sicilia;-60;120;301;-181;418
Toscana;-75;41;162;-121;374
Trento;-59;19;46;-27;32
Umbria;-100;0;57;-57;70
Valle d’Aosta;25;10;8;2;10
Veneto;57;331;211;120;494
